time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1664	1.39927	5.02116	0.276917	0.290688	radar	3.65317	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3789	1.46986	4.95803	0.294394	0.295827	lidar	0.911917	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.611	1.55504	4.73701	0.318486	0.312271	radar	1.51914	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8214	1.56476	4.6551	0.296139	0.252029	lidar	1.30185	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0924	1.61939	5.10008	0.290825	0.221382	radar	2.82112	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3826	1.65524	5.17642	0.27233	0.174203	lidar	2.42796	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6125	1.70717	4.97101	0.27297	0.161957	radar	0.640453	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8388	1.76581	4.93708	0.277059	0.155514	lidar	0.21749	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0966	1.86455	5.26208	0.29913	0.177066	radar	1.09352	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3481	1.87927	5.21636	0.269336	0.115931	lidar	0.706317	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.605	1.93763	5.32713	0.266686	0.101929	radar	0.307681	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.806	2.08792	5.26221	0.3266	0.187765	lidar	3.19286	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0737	2.21154	5.50577	0.354552	0.215889	radar	1.96715	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2821	2.36037	5.44498	0.402702	0.27433	lidar	2.30593	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4519	2.51689	4.86087	0.462511	0.353135	radar	9.4442	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.6981	2.61866	4.91721	0.470167	0.337652	lidar	1.0317	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9174	2.734	5.00272	0.486893	0.336325	radar	0.120952	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1459	2.8864	5.06498	0.520957	0.36335	lidar	0.433592	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.396	3.01125	5.42155	0.526033	0.33813	radar	0.917147	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6098	3.05587	5.25199	0.494839	0.262305	lidar	2.69387	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8378	3.23226	5.41519	0.535126	0.304268	radar	2.91383	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0531	3.43161	5.46724	0.586294	0.360834	lidar	0.500533	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2607	3.61186	5.19782	0.628206	0.404604	radar	2.24113	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4748	3.79013	5.24862	0.659369	0.42199	lidar	0.229124	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6852	3.92367	5.23761	0.663078	0.393655	radar	1.24747	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9108	4.04456	5.20309	0.655381	0.350916	lidar	0.429078	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1086	4.19757	4.95122	0.674778	0.358399	radar	0.897645	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2996	4.39051	5.01704	0.711411	0.388144	lidar	0.265321	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5113	4.55793	5.21628	0.722019	0.371289	radar	0.804977	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6891	4.71397	5.15538	0.735722	0.362945	lidar	0.485641	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8473	4.88343	4.64928	0.769485	0.398079	radar	1.5933	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9973	5.1168	4.76358	0.828604	0.459884	lidar	0.688881	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1731	5.26979	4.87044	0.830728	0.423427	radar	1.61819	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3267	5.44781	4.8511	0.852581	0.424132	lidar	0.082946	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4895	5.59295	4.76146	0.853098	0.391489	radar	2.63546	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
